"V1" "V2"
"1" -0.54 -4.23
"2" -0.537780359 -4.22853497
"3" -0.535561436 -4.22706988
"4" -0.533343231 -4.22560473
"5" -0.531125744 -4.22413952
"6" -0.528908975 -4.22267425
"7" -0.526692924 -4.22120892
"8" -0.524477591 -4.21974353
"9" -0.522262976 -4.21827808
"10" -0.520049079 -4.21681257
"11" -0.5178359 -4.215347
"12" -0.515623439 -4.21388137
"13" -0.513411696 -4.21241568
"14" -0.511200671 -4.21094993
"15" -0.508990364 -4.20948412
"16" -0.506780775 -4.20801825
"17" -0.504571904 -4.20655232
"18" -0.502363751 -4.20508633
"19" -0.500156316 -4.20362028
"20" -0.497949599 -4.20215417
"21" -0.4957436 -4.200688
"22" -0.493538319 -4.19922177
"23" -0.491333756 -4.19775548
"24" -0.489129911 -4.19628913
"25" -0.486926784 -4.19482272
"26" -0.484724375 -4.19335625
"27" -0.482522684 -4.19188972
"28" -0.480321711 -4.19042313
"29" -0.478121456 -4.18895648
"30" -0.475921919 -4.18748977
"31" -0.4737231 -4.186023
"32" -0.471524999 -4.18455617
"33" -0.469327616 -4.18308928
"34" -0.467130951 -4.18162233
"35" -0.464935004 -4.18015532
"36" -0.462739775 -4.17868825
"37" -0.460545264 -4.17722112
"38" -0.458351471 -4.17575393
"39" -0.456158396 -4.17428668
"40" -0.453966039 -4.17281937
"41" -0.4517744 -4.171352
"42" -0.449583479 -4.16988457
"43" -0.447393276 -4.16841708
"44" -0.445203791 -4.16694953
"45" -0.443015024 -4.16548192
"46" -0.440826975 -4.16401425
"47" -0.438639644 -4.16254652
"48" -0.436453031 -4.16107873
"49" -0.434267136 -4.15961088
"50" -0.432081959 -4.15814297
"51" -0.4298975 -4.156675
"52" -0.427713759 -4.15520697
"53" -0.425530736 -4.15373888
"54" -0.423348431 -4.15227073
"55" -0.421166844 -4.15080252
"56" -0.418985975 -4.14933425
"57" -0.416805824 -4.14786592
"58" -0.414626391 -4.14639753
"59" -0.412447676 -4.14492908
"60" -0.410269679 -4.14346057
"61" -0.4080924 -4.141992
"62" -0.405915839 -4.14052337
"63" -0.403739996 -4.13905468
"64" -0.401564871 -4.13758593
"65" -0.399390464 -4.13611712
"66" -0.397216775 -4.13464825
"67" -0.395043804 -4.13317932
"68" -0.392871551 -4.13171033
"69" -0.390700016 -4.13024128
"70" -0.388529199 -4.12877217
"71" -0.3863591 -4.127303
"72" -0.384189719 -4.12583377
"73" -0.382021056 -4.12436448
"74" -0.379853111 -4.12289513
"75" -0.377685884 -4.12142572
